censo,departamento,grupo_edad,hombres,mujeres,total_poblacion
2017,Cusco,60-64,19438,20325,39763
2017,Cusco,65-69,15055,15893,30948
2017,Cusco,70-74,11542,12942,24484
2017,Cusco,75-79,8355,10062,18417
2017,Cusco,80-84,4994,6535,11529
2017,Cusco,85-89,2423,3511,5934
2017,Cusco,90-94,792,1213,2005
2017,Cusco,95+,261,464,725
2007,Huancavelica,0-4,27028,26452,53480
2007,Huancavelica,10-14,32671,31210,63881
2007,Huancavelica,15-19,22714,22626,45340
2007,Huancavelica,20-24,17847,18706,36553
2007,Huancavelica,25-29,15112,15566,30678
2007,Huancavelica,30-34,13044,13860,26904
2007,Huancavelica,35-39,12228,12832,25060
2007,Huancavelica,40-44,11204,11270,22474
2007,Huancavelica,45-49,9489,9786,19275
2007,Huancavelica,5-9,31920,31297,63217
2007,Huancavelica,50-54,7315,7786,15101
2007,Huancavelica,55-59,6419,6844,13263
2007,Huancavelica,60-64,5129,5820,10949
2007,Huancavelica,65-69,4292,5000,9292
2007,Huancavelica,70-74,3220,3853,7073
2007,Huancavelica,75-79,2577,3015,5592
2007,Huancavelica,80-84,1372,1789,3161
2007,Huancavelica,85-89,775,1196,1971
2007,Huancavelica,90-94,273,444,717
2007,Huancavelica,95-99,277,539,816
2017,Huancavelica,0-4,16249,15466,31715
2017,Huancavelica,10-14,19957,19719,39676
2017,Huancavelica,15-19,17634,17671,35305
2017,Huancavelica,20-24,12895,13506,26401
2017,Huancavelica,25-29,10581,11992,22573
2017,Huancavelica,30-34,10863,11865,22728
2017,Huancavelica,35-39,10008,10887,20895
2017,Huancavelica,40-44,9343,10368,19711
2017,Huancavelica,45-49,8401,9213,17614
2017,Huancavelica,5-9,17270,16768,34038
2017,Huancavelica,50-54,8160,8855,17015
2017,Huancavelica,55-59,7116,7441,14557
2017,Huancavelica,60-64,5705,6356,12061
2017,Huancavelica,65-69,5037,5678,10715
2017,Huancavelica,70-74,3906,4760,8666
2017,Huancavelica,75-79,2772,3693,6465
2017,Huancavelica,80-84,1818,2511,4329
2017,Huancavelica,85-89,787,1358,2145
2017,Huancavelica,90-94,254,477,731
2017,Huancavelica,95+,86,213,299
2007,Huanuco,0-4,45095,42966,88061
2007,Huanuco,10-14,53041,49869,102910
2007,Huanuco,15-19,40984,38812,79796
2007,Huanuco,20-24,32670,32894,65564
2007,Huanuco,25-29,27957,28106,56063
2007,Huanuco,30-34,24039,24767,48806
2007,Huanuco,35-39,22449,23758,46207
2007,Huanuco,40-44,20179,20008,40187
2007,Huanuco,45-49,17236,16811,34047
2007,Huanuco,5-9,48018,46480,94498
2007,Huanuco,50-54,13417,13304,26721
2007,Huanuco,55-59,10645,10439,21084
2007,Huanuco,60-64,8724,8618,17342
2007,Huanuco,65-69,6938,7304,14242
2007,Huanuco,70-74,5291,5378,10669
2007,Huanuco,75-79,4080,3981,8061
2007,Huanuco,80-84,2022,2181,4203
2007,Huanuco,85-89,1058,1253,2311
2007,Huanuco,90-94,323,398,721
2007,Huanuco,95-99,258,472,730
2017,Huanuco,0-4,34637,33091,67728
2017,Huanuco,10-14,39414,38264,77678
2017,Huanuco,15-19,33762,33519,67281
2017,Huanuco,20-24,29480,31316,60796
2017,Huanuco,25-29,26436,27975,54411
2017,Huanuco,30-34,25633,26566,52199
2017,Huanuco,35-39,23747,24545,48292
2017,Huanuco,40-44,21073,22039,43112
2017,Huanuco,45-49,18285,19380,37665
2017,Huanuco,5-9,36250,35157,71407
2017,Huanuco,50-54,17006,17423,34429
2017,Huanuco,55-59,14350,14368,28718
2017,Huanuco,60-64,11092,11639,22731
2017,Huanuco,65-69,9076,9055,18131
2017,Huanuco,70-74,6883,7144,14027
2017,Huanuco,75-79,4926,5723,10649
2017,Huanuco,80-84,3119,3819,6938
2017,Huanuco,85-89,1449,1960,3409
2017,Huanuco,90-94,422,636,1058
2017,Huanuco,95+,129,259,388
2007,Ica,0-4,35302,33993,69295
2007,Ica,10-14,36751,35166,71917
2007,Ica,15-19,34996,34899,69895
2007,Ica,20-24,33994,33958,67952
2007,Ica,25-29,29844,30224,60068
2007,Ica,30-34,26739,28335,55074
2007,Ica,35-39,23879,25838,49717
2007,Ica,40-44,20882,22525,43407
2007,Ica,45-49,17350,18768,36118
2007,Ica,5-9,32704,30994,63698
2007,Ica,50-54,14988,16180,31168
2007,Ica,55-59,11963,12914,24877
2007,Ica,60-64,9941,10104,20045
2007,Ica,65-69,7891,7907,15798
2007,Ica,70-74,6334,6448,12782
2007,Ica,75-79,4670,4528,9198
2007,Ica,80-84,2876,3058,5934
2007,Ica,85-89,1500,1697,3197
2007,Ica,90-94,559,663,1222
2007,Ica,95-99,223,347,570
2017,Ica,0-4,39982,38599,78581
2017,Ica,10-14,36726,35847,72573
2017,Ica,15-19,33498,33721,67219
2017,Ica,20-24,36844,37651,74495
2017,Ica,25-29,34637,35368,70005
2017,Ica,30-34,32810,33399,66209
2017,Ica,35-39,29904,30424,60328
2017,Ica,40-44,26853,28886,55739
2017,Ica,45-49,23548,25247,48795
2017,Ica,5-9,40531,39564,80095
2017,Ica,50-54,20243,22201,42444
2017,Ica,55-59,17038,18331,35369
2017,Ica,60-64,13803,15205,29008
2017,Ica,65-69,11021,11985,23006
2017,Ica,70-74,8541,8947,17488
2017,Ica,75-79,6113,6489,12602
2017,Ica,80-84,4157,4810,8967
2017,Ica,85-89,2259,2673,4932
2017,Ica,90-94,962,1220,2182
2017,Ica,95+,284,444,728
2007,Junin,0-4,63878,61236,125114
2007,Junin,10-14,73829,70588,144417
2007,Junin,15-19,65580,63157,128737
2007,Junin,20-24,56452,56150,112602
2007,Junin,25-29,48101,49204,97305
2007,Junin,30-34,40823,43279,84102
2007,Junin,35-39,37682,41703,79385
2007,Junin,40-44,34273,35990,70263
