censo,departamento,grupo_edad,hombres,mujeres,total_poblacion
2017,Huanuco,95+,129,259,388
2017,Ica,0-4,39982,38599,78581
2017,Ica,10-14,36726,35847,72573
2017,Ica,15-19,33498,33721,67219
2017,Ica,20-24,36844,37651,74495
2017,Ica,25-29,34637,35368,70005
2017,Ica,30-34,32810,33399,66209
2017,Ica,35-39,29904,30424,60328
2017,Ica,40-44,26853,28886,55739
2017,Ica,45-49,23548,25247,48795
2017,Ica,5-9,40531,39564,80095
2017,Ica,50-54,20243,22201,42444
2017,Ica,55-59,17038,18331,35369
2017,Ica,60-64,13803,15205,29008
2017,Ica,65-69,11021,11985,23006
2017,Ica,70-74,8541,8947,17488
2017,Ica,75-79,6113,6489,12602
2017,Ica,80-84,4157,4810,8967
2017,Ica,85-89,2259,2673,4932
2017,Ica,90-94,962,1220,2182
2017,Ica,95+,284,444,728
2017,Junin,0-4,56886,55315,112201
2017,Junin,10-14,60775,58963,119738
2017,Junin,15-19,57292,56723,114015
2017,Junin,20-24,52250,55049,107299
2017,Junin,25-29,47149,51379,98528
2017,Junin,30-34,45034,49184,94218
2017,Junin,35-39,41634,45067,86701
2017,Junin,40-44,36060,40074,76134
2017,Junin,45-49,32284,35347,67631
2017,Junin,5-9,59557,57369,116926
2017,Junin,50-54,28820,31957,60777
2017,Junin,55-59,24569,26330,50899
2017,Junin,60-64,19778,21513,41291
2017,Junin,65-69,15543,17050,32593
2017,Junin,70-74,12289,13196,25485
2017,Junin,75-79,9149,10202,19351
2017,Junin,80-84,5576,6663,12239
2017,Junin,85-89,3089,3856,6945
2017,Junin,90-94,928,1390,2318
2017,Junin,95+,270,479,749
2017,La Libertad,0-4,82853,79387,162240
2017,La Libertad,10-14,82473,80805,163278
2017,La Libertad,15-19,72800,72986,145786
2017,La Libertad,20-24,76702,80272,156974
2017,La Libertad,25-29,67737,72826,140563
2017,La Libertad,30-34,63157,67670,130827
2017,La Libertad,35-39,57963,62839,120802
2017,La Libertad,40-44,53359,58325,111684
2017,La Libertad,45-49,47622,51955,99577
2017,La Libertad,5-9,85976,84007,169983
2017,La Libertad,50-54,41944,45840,87784
2017,La Libertad,55-59,35601,39670,75271
2017,La Libertad,60-64,29158,32493,61651
2017,La Libertad,65-69,22786,25461,48247
2017,La Libertad,70-74,18455,20620,39075
2017,La Libertad,75-79,13495,15150,28645
2017,La Libertad,80-84,9082,10501,19583
2017,La Libertad,85-89,4623,5977,10600
2017,La Libertad,90-94,1663,2476,4139
2017,La Libertad,95+,487,884,1371
2017,Lambayeque,0-4,54512,52629,107141
2017,Lambayeque,10-14,53942,52602,106544
2017,Lambayeque,15-19,51032,50888,101920
2017,Lambayeque,20-24,50229,52924,103153
2017,Lambayeque,25-29,42773,46854,89627
2017,Lambayeque,30-34,39427,43774,83201
2017,Lambayeque,35-39,37864,42579,80443
2017,Lambayeque,40-44,35837,41144,76981
2017,Lambayeque,45-49,32193,37286,69479
2017,Lambayeque,5-9,57078,54858,111936
2017,Lambayeque,50-54,28785,33156,61941
2017,Lambayeque,55-59,25491,29133,54624
2017,Lambayeque,60-64,21334,23736,45070
2017,Lambayeque,65-69,15955,17727,33682
2017,Lambayeque,70-74,13086,13679,26765
2017,Lambayeque,75-79,9042,9563,18605
2017,Lambayeque,80-84,6535,7359,13894
2017,Lambayeque,85-89,3690,4151,7841
2017,Lambayeque,90-94,1483,1833,3316
2017,Lambayeque,95+,437,660,1097
2017,Lima,0-4,353891,341452,695343
2017,Lima,10-14,360859,351109,711968
2017,Lima,15-19,368191,366624,734815
2017,Lima,20-24,423218,431902,855120
2017,Lima,25-29,406369,423852,830221
2017,Lima,30-34,376597,398511,775108
2017,Lima,35-39,355056,378833,733889
2017,Lima,40-44,326530,351974,678504
2017,Lima,45-49,280401,308971,589372
2017,Lima,5-9,368771,356794,725565
2017,Lima,50-54,241394,270423,511817
2017,Lima,55-59,204963,230157,435120
2017,Lima,60-64,169436,193989,363425
2017,Lima,65-69,133336,149770,283106
2017,Lima,70-74,100906,111153,212059
2017,Lima,75-79,70336,80026,150362
2017,Lima,80-84,46450,57522,103972
2017,Lima,85-89,26341,35678,62019
2017,Lima,90-94,10043,15512,25555
2017,Lima,95+,2689,5376,8065
2017,Loreto,0-4,51172,49788,100960
2017,Loreto,10-14,55066,53335,108401
2017,Loreto,15-19,38306,37537,75843
2017,Loreto,20-24,30090,33657,63747
2017,Loreto,25-29,29818,34118,63936
2017,Loreto,30-34,29033,31939,60972
2017,Loreto,35-39,27332,27590,54922
2017,Loreto,40-44,25939,25028,50967
2017,Loreto,45-49,21871,20922,42793
2017,Loreto,5-9,58094,56257,114351
2017,Loreto,50-54,19548,17915,37463
2017,Loreto,55-59,17163,14907,32070
2017,Loreto,60-64,13308,11742,25050
2017,Loreto,65-69,10272,8927,19199
2017,Loreto,70-74,7051,6287,13338
2017,Loreto,75-79,5062,4569,9631
2017,Loreto,80-84,2923,2995,5918
2017,Loreto,85-89,1274,1536,2810
2017,Loreto,90-94,365,539,904
2017,Loreto,95+,110,125,235
2017,Madre de Dios,0-4,7508,7012,14520
2017,Madre de Dios,10-14,6827,6694,13521
2017,Madre de Dios,15-19,5261,5088,10349
2017,Madre de Dios,20-24,6160,6362,12522
2017,Madre de Dios,25-29,7064,7213,14277
2017,Madre de Dios,30-34,6748,6500,13248
2017,Madre de Dios,35-39,5637,5023,10660
2017,Madre de Dios,40-44,4676,4133,8809
2017,Madre de Dios,45-49,4205,3485,7690
2017,Madre de Dios,5-9,7836,7613,15449
2017,Madre de Dios,50-54,3754,2828,6582
2017,Madre de Dios,55-59,3070,2086,5156
2017,Madre de Dios,60-64,2098,1213,3311
2017,Madre de Dios,65-69,1329,818,2147
2017,Madre de Dios,70-74,737,517,1254
2017,Madre de Dios,75-79,491,343,834
2017,Madre de Dios,80-84,249,180,429
2017,Madre de Dios,85-89,133,76,209
2017,Madre de Dios,90-94,36,38,74
2017,Madre de Dios,95+,9,20,29
2017,Moquegua,0-4,6740,6284,13024
2017,Moquegua,10-14,6987,6774,13761
2017,Moquegua,15-19,6594,6396,12990
2017,Moquegua,20-24,6751,6724,13475
2017,Moquegua,25-29,6711,6870,13581
2017,Moquegua,30-34,6852,7252,14104
2017,Moquegua,35-39,6927,7098,14025
2017,Moquegua,40-44,6627,6484,13111
2017,Moquegua,45-49,5872,5815,11687
2017,Moquegua,5-9,7169,6882,14051
2017,Moquegua,50-54,4807,4937,9744
2017,Moquegua,55-59,4098,4075,8173
2017,Moquegua,60-64,3527,3418,6945
2017,Moquegua,65-69,2928,2592,5520
2017,Moquegua,70-74,2090,1914,4004
2017,Moquegua,75-79,1577,1388,2965
2017,Moquegua,80-84,1045,992,2037
2017,Moquegua,85-89,555,534,1089
2017,Moquegua,90-94,200,222,422
2017,Moquegua,95+,72,83,155
2017,Pasco,0-4,11492,11125,22617
2017,Pasco,10-14,12276,11922,24198
2017,Pasco,15-19,10475,10174,20649
2017,Pasco,20-24,11609,11629,23238
2017,Pasco,25-29,10868,10832,21700
2017,Pasco,30-34,10610,10153,20763
2017,Pasco,35-39,9257,9163,18420
2017,Pasco,40-44,8273,7909,16182
2017,Pasco,45-49,7208,7223,14431
2017,Pasco,5-9,12651,12261,24912
2017,Pasco,50-54,6240,6061,12301
2017,Pasco,55-59,5113,4871,9984
2017,Pasco,60-64,3733,3796,7529
2017,Pasco,65-69,3027,2948,5975
2017,Pasco,70-74,2106,2211,4317
2017,Pasco,75-79,1636,1794,3430
2017,Pasco,80-84,974,1128,2102
2017,Pasco,85-89,406,526,932
2017,Pasco,90-94,116,152,268
2017,Pasco,95+,41,76,117
2017,Piura,0-4,91827,87953,179780
2017,Piura,10-14,92349,90229,182578
2017,Piura,15-19,77188,76378,153566
2017,Piura,20-24,72814,76369,149183
2017,Piura,25-29,68513,72888,141401
2017,Piura,30-34,64257,68528,132785
2017,Piura,35-39,61930,65480,127410
2017,Piura,40-44,56471,59711,116182
2017,Piura,45-49,49236,52402,101638
2017,Piura,5-9,97945,95167,193112
2017,Piura,50-54,44669,46662,91331
2017,Piura,55-59,40181,40774,80955
2017,Piura,60-64,32770,32968,65738
2017,Piura,65-69,21953,22421,44374
2017,Piura,70-74,18081,18523,36604
2017,Piura,75-79,12458,13164,25622
2017,Piura,80-84,9067,9892,18959
2017,Piura,85-89,4977,5680,10657
2017,Piura,90-94,1655,2025,3680
2017,Piura,95+,509,745,1254
2017,Puno,0-4,45359,44303,89662
2017,Puno,10-14,53206,51610,104816
2017,Puno,15-19,52100,52363,104463
2017,Puno,20-24,50462,51875,102337
2017,Puno,25-29,46467,47935,94402
2017,Puno,30-34,43050,45415,88465
2017,Puno,35-39,40351,42499,82850
2017,Puno,40-44,37569,39758,77327
2017,Puno,45-49,32372,34615,66987
2017,Puno,5-9,50291,47509,97800
2017,Puno,50-54,29956,30998,60954
2017,Puno,55-59,24639,25746,50385
2017,Puno,60-64,20870,21841,42711
2017,Puno,65-69,17282,18210,35492
2017,Puno,70-74,13967,15311,29278
2017,Puno,75-79,9300,11037,20337
2017,Puno,80-84,6598,7683,14281
2017,Puno,85-89,3312,4051,7363
2017,Puno,90-94,937,1185,2122
2017,Puno,95+,295,370,665
2017,San Martin,0-4,41476,39841,81317
2017,San Martin,10-14,42776,41495,84271
2017,San Martin,15-19,34479,32768,67247
2017,San Martin,20-24,31184,32985,64169
2017,San Martin,25-29,31619,33548,65167
2017,San Martin,30-34,31038,31288,62326
2017,San Martin,35-39,29258,27926,57184
2017,San Martin,40-44,26515,24804,51319
2017,San Martin,45-49,23619,21506,45125
2017,San Martin,5-9,45194,43967,89161
2017,San Martin,50-54,21752,18594,40346
2017,San Martin,55-59,17738,14362,32100
2017,San Martin,60-64,12907,10969,23876
2017,San Martin,65-69,9133,8145,17278
2017,San Martin,70-74,6755,6111,12866
2017,San Martin,75-79,4672,4721,9393
2017,San Martin,80-84,2833,3151,5984
2017,San Martin,85-89,1320,1613,2933
2017,San Martin,90-94,386,594,980
2017,San Martin,95+,121,218,339
2017,Tumbes,0-4,11167,10528,21695
2017,Tumbes,10-14,10711,10242,20953
2017,Tumbes,15-19,8886,8786,17672
2017,Tumbes,20-24,8976,9151,18127
2017,Tumbes,25-29,8606,9102,17708
2017,Tumbes,30-34,8471,8917,17388
2017,Tumbes,35-39,8198,8332,16530
2017,Tumbes,40-44,7328,7395,14723
2017,Tumbes,45-49,6649,6460,13109
2017,Tumbes,5-9,11649,11619,23268
2017,Tumbes,50-54,5942,5647,11589
2017,Tumbes,55-59,5248,4712,9960
2017,Tumbes,60-64,4027,3563,7590
2017,Tumbes,65-69,2729,2372,5101
2017,Tumbes,70-74,1956,1675,3631
2017,Tumbes,75-79,1261,1211,2472
2017,Tumbes,80-84,924,888,1812
2017,Tumbes,85-89,546,496,1042
2017,Tumbes,90-94,193,181,374
2017,Tumbes,95+,52,67,119
2017,Ucayali,0-4,28823,27661,56484
2017,Ucayali,10-14,27429,26801,54230
2017,Ucayali,15-19,19921,20332,40253
2017,Ucayali,20-24,19817,21407,41224
2017,Ucayali,25-29,19218,20999,40217
2017,Ucayali,30-34,18247,18900,37147
2017,Ucayali,35-39,16649,16468,33117
2017,Ucayali,40-44,14889,14342,29231
2017,Ucayali,45-49,12758,12204,24962
2017,Ucayali,5-9,30935,29637,60572
2017,Ucayali,50-54,11470,10585,22055
2017,Ucayali,55-59,9658,8454,18112
2017,Ucayali,60-64,7328,6298,13626
2017,Ucayali,65-69,5373,4565,9938
2017,Ucayali,70-74,3441,2910,6351
2017,Ucayali,75-79,2354,2061,4415
2017,Ucayali,80-84,1329,1303,2632
2017,Ucayali,85-89,622,623,1245
2017,Ucayali,90-94,238,258,496
2017,Ucayali,95+,68,84,152
