area_num,area_codigo,departamento,grupo_edad,hombres,mujeres,total_poblacion
8,AREA # 08,Cusco,5-9,68913,66610,135523
8,AREA # 08,Cusco,50-54,22274,22648,44922
8,AREA # 08,Cusco,55-59,17704,17579,35283
8,AREA # 08,Cusco,60-64,13994,14916,28910
8,AREA # 08,Cusco,65-69,11716,12674,24390
8,AREA # 08,Cusco,70-74,8438,9665,18103
8,AREA # 08,Cusco,75-79,6620,7378,13998
8,AREA # 08,Cusco,80-84,3543,4542,8085
8,AREA # 08,Cusco,85-89,2155,2628,4783
8,AREA # 08,Cusco,90-94,692,980,1672
8,AREA # 08,Cusco,95-99,666,1034,1700
9,AREA # 09,Huancavelica,0-4,27028,26452,53480
9,AREA # 09,Huancavelica,10-14,32671,31210,63881
9,AREA # 09,Huancavelica,15-19,22714,22626,45340
9,AREA # 09,Huancavelica,20-24,17847,18706,36553
9,AREA # 09,Huancavelica,25-29,15112,15566,30678
9,AREA # 09,Huancavelica,30-34,13044,13860,26904
9,AREA # 09,Huancavelica,35-39,12228,12832,25060
9,AREA # 09,Huancavelica,40-44,11204,11270,22474
9,AREA # 09,Huancavelica,45-49,9489,9786,19275
9,AREA # 09,Huancavelica,5-9,31920,31297,63217
9,AREA # 09,Huancavelica,50-54,7315,7786,15101
9,AREA # 09,Huancavelica,55-59,6419,6844,13263
9,AREA # 09,Huancavelica,60-64,5129,5820,10949
9,AREA # 09,Huancavelica,65-69,4292,5000,9292
9,AREA # 09,Huancavelica,70-74,3220,3853,7073
9,AREA # 09,Huancavelica,75-79,2577,3015,5592
9,AREA # 09,Huancavelica,80-84,1372,1789,3161
9,AREA # 09,Huancavelica,85-89,775,1196,1971
9,AREA # 09,Huancavelica,90-94,273,444,717
9,AREA # 09,Huancavelica,95-99,277,539,816
10,AREA # 10,Huanuco,0-4,45095,42966,88061
10,AREA # 10,Huanuco,10-14,53041,49869,102910
10,AREA # 10,Huanuco,15-19,40984,38812,79796
10,AREA # 10,Huanuco,20-24,32670,32894,65564
10,AREA # 10,Huanuco,25-29,27957,28106,56063
10,AREA # 10,Huanuco,30-34,24039,24767,48806
10,AREA # 10,Huanuco,35-39,22449,23758,46207
10,AREA # 10,Huanuco,40-44,20179,20008,40187
10,AREA # 10,Huanuco,45-49,17236,16811,34047
10,AREA # 10,Huanuco,5-9,48018,46480,94498
10,AREA # 10,Huanuco,50-54,13417,13304,26721
10,AREA # 10,Huanuco,55-59,10645,10439,21084
10,AREA # 10,Huanuco,60-64,8724,8618,17342
10,AREA # 10,Huanuco,65-69,6938,7304,14242
